चन्द्रसंज्ञ,P,2.6.131
सिताभ्र,P,2.6.131
हिमवालुका,S,2.6.131
गन्धसार,P,2.6.132
मलयज,P,2.6.132
भद्रश्री,S,2.6.132
चन्दन,PN,2.6.132
तैलपर्णिक,N,2.6.132
गोशीर्ष,N,2.6.132
हरिचन्दन,PN,2.6.132
तिलपर्णी,S,2.6.133
पत्राङ्ग,N,2.6.133
रञ्जन,N,2.6.133
रक्तचन्दन,N,2.6.133
कुचन्दन,N,2.6.133
जातीकोश,N,2.6.133
जातीफल,N,2.6.133
यक्षकर्दम,P,2.6.134
गात्रानुलेपनी,S,2.6.134
वर्ति,S,2.6.134
वर्णक,N,2.6.134
विलेपन,N,2.6.134
चूर्ण,N,2.6.135
वासयोग,P,2.6.135
भावित,V,2.6.135
वासित,V,2.6.135
अधिवासन,N,2.6.135
माल्य,N,2.6.136
माला,S,2.6.136
स्रज्,S,2.6.136
गर्भक,P,2.6.136
प्रभ्रष्टक,N,2.6.136
ललामक,N,2.6.136
प्रालम्ब,N,2.6.137
वैकक्षिक,N,2.6.137
आपीड,P,2.6.137
शेखर,P,2.6.137
रचना,S,2.6.138
परिस्पन्द,P,2.6.138
आभोग,P,2.6.138
परिपूर्णता,S,2.6.138
उपधान,N,2.6.138
उपबर्ह,P,2.6.138
शय्या,S,2.6.138
शयनीय,N,2.6.138
शयन,N,2.6.139
मञ्च,P,2.6.139
पर्यङ्क,P,2.6.139
पल्यङ्क,P,2.6.139
खट्वा,S,2.6.139
गेन्दुक,P,2.6.139
कन्दुक,P,2.6.139
दीप,P,2.6.139
प्रदीप,P,2.6.139
पीठ,N,2.6.139
आसन,N,2.6.139
समुद्गक,P,2.6.140
सम्पुटक,P,2.6.140
प्रतिग्राह,P,2.6.140
पतद्ग्रह,P,2.6.140
प्रसाधनी,S,2.6.140
कङ्कतिका,S,2.6.140
पिष्टात,P,2.6.140
पटवासक,P,2.6.140
दर्पण,PN,2.6.141
मुकुर,P,2.6.141
आदर्श,P,2.6.141
व्यजन,N,2.6.141
तालवृन्तक,N,2.6.141
सन्तति,S,2.7.1
गोत्र,N,2.7.1
जनन,N,2.7.1
कुल,N,2.7.1
अभिजन,P,2.7.1
अन्वय,P,2.7.1
वंश,P,2.7.1
अन्ववाय,P,2.7.1
सन्तान,P,2.7.1
वर्ण,P,2.7.1
चातुर्वर्ण्य,N,2.7.2
राजबीजिन्,P,2.7.2
राजवंश्य,P,2.7.2
बीज्य,P,2.7.2
कुलसम्भव,P,2.7.2
महाकुल,P,2.7.3
कुलीन,V,2.7.3
आर्य,P,2.7.3
सभ्य,P,2.7.3
सज्जन,P,2.7.3
साधु,V,2.7.3
ब्रह्मचारिन्,P,2.7.3
गृहिन्,P,2.7.3
वानप्रस्थ,P,2.7.3
भिक्षु,P,2.7.3
आश्रम,PN,2.7.4
द्विजाति,P,2.7.4
अग्रजन्मन्,P,2.7.4
भूदेव,P,2.7.4
वाडव,P,2.7.4
विप्र,P,2.7.4
ब्राह्मण,P,2.7.4
षट्कर्मन्,P,2.7.4
विद्वस्,P,2.7.5
विपश्चित्,P,2.7.5
दोषज्ञ,P,2.7.5
सत्,P,2.7.5
सुधी,P,2.7.5
कोविद,P,2.7.5
बुध,P,2.7.5
धीर,P,2.7.5
मनीषिन्,P,2.7.5
ज्ञ,P,2.7.5
प्राज्ञ,P,2.7.5
सङ्ख्यावत्,P,2.7.5
पण्डित,P,2.7.5
कवि,P,2.7.5
धीमत्,P,2.7.6
सूरिन्,P,2.7.6
कृतिन्,P,2.7.6
कृष्टि,P,2.7.6
लब्धवर्ण,P,2.7.6
विचक्षण,P,2.7.6
दूरदर्शिन्,P,2.7.6
दीर्घदर्शिन्,P,2.7.6
श्रोत्रिय,P,2.7.6
छान्दस,P,2.7.6
मीमांसक,V,2.7.7
जैमिनीय,P,2.7.7
वेदान्तिन्,P,2.7.7
ब्रह्मवादिन्,P,2.7.7
वैशेषिक,P,2.7.7
औलूक्य,P,2.7.7
सौगत,P,2.7.7
शून्यवादिन्,P,2.7.7
नैयायिक,P,2.7.8
अक्षपाद,P,2.7.8
स्याद्वादिन्,P,2.7.8
आर्हक,P,2.7.8
चार्वाक,P,2.7.8
लौकायतिक,P,2.7.8
साङ्ख्य,P,2.7.8
कापिल,P,2.7.8
उपाध्याय,P,2.7.9
अध्यापक,P,2.7.9
गुरु,P,2.7.9
मन्त्रव्याख्याकृत्,P,2.7.9
आचार्य,P,2.7.9
व्रतिन्,P,2.7.9
यष्टृ,P,2.7.10
यजमान,P,2.7.10
दीक्षित,P,2.7.10
इज्याशील,P,2.7.10
यायजूक,P,2.7.10
यज्वन्,P,2.7.10
स्थपति,P,2.7.11
सोमपीथिन्,P,2.7.11
सोमप,P,2.7.11
सर्ववेदस्,P,2.7.11
अनूचान,P,2.7.12
समावृत्त,P,2.7.12
सुत्वन्,P,2.7.12
छात्र,P,2.7.13
अन्तेवासिन्,P,2.7.13
शिष्य,P,2.7.13
शैक्ष,P,2.7.13
प्राथमकल्पिक,P,2.7.13
सब्रह्मचारिन्,P,2.7.13
सतीर्थ्य,P,2.7.14
एकगुरु,P,2.7.14
अग्निचित्,P,2.7.14
ऐतिह्य,N,2.7.14
इतिह,A,2.7.14
उपज्ञा,S,2.7.15
उपक्रम,P,2.7.15
यज्ञ,P,2.7.15
सव,P,2.7.15
अध्वर,P,2.7.15
याग,P,2.7.15
सप्ततन्तु,P,2.7.15
मख,P,2.7.15
क्रतु,P,2.7.15
पाठ,P,2.7.16
होम,P,2.7.16
अतिथीनां_सपर्या,S,2.7.16
तर्पण,N,2.7.16
बलि,P,2.7.16
पञ्चमहायज्ञ,P,2.7.16
समज्या,S,2.7.17
परिषद्,S,2.7.17
गोष्ठी,S,2.7.17
सभा,S,2.7.17
समिति,S,2.7.17
संसद्,S,2.7.17
आस्थानी,S,2.7.17
आस्थान,N,2.7.17
सदस्,SN,2.7.17
प्राग्वंश,P,2.7.18
सदस्य,P,2.7.18
सभासद्,P,2.7.18
सभास्तार,P,2.7.18
सभ्य,P,2.7.18
सामाजिक,P,2.7.18
अध्वर्यु,P,2.7.19
उद्गातृ,P,2.7.19
होतृ,P,2.7.19
ऋत्विज्,P,2.7.19
याजक,P,2.7.19
वेदि,P,2.7.20
स्थण्डिल,N,2.7.20
चत्वर,N,2.7.20
चषाल,P,2.7.20
यूपकटक,P,2.7.20
कुम्बा,S,2.7.20
यूपाग्र,N,2.7.21
तर्मन्,N,2.7.21
अरणि,PS,2.7.21
दक्षिणाग्नि,P,2.7.21
गार्हपत्य,P,2.7.21
आहवनीय,P,2.7.21
त्रेता,S,2.7.22
प्रणीत,P,2.7.22
समूह्य,P,2.7.22
परिचाय्य,P,2.7.22
उपचाय्य,P,2.7.22
आनाय्य,P,2.7.23
आग्नायी,S,2.7.23
स्वाहा,S,2.7.23
हुतभुक्प्रिया,S,2.7.23
सामिधेनी,S,2.7.24
धाय्या,S,2.7.24
गायत्री,S,2.7.24
चरु,P,2.7.24
आमिक्षा,S,2.7.25
धवित्र,N,2.7.25
पृषदाज्य,N,2.7.26
परमान्न,N,2.7.26
पायस,PN,2.7.26
हव्य,N,2.7.26
कव्य,N,2.7.26
पात्र,N,2.7.26
ध्रुवा,S,2.7.27
उपभृत्,S,2.7.27
जहू,S,2.7.27
स्रुव,P,2.7.27
स्रुच्,S,2.7.27
उपाकृत,P,2.7.27
परम्पराक,N,2.7.28
शमन,P,2.7.28
प्रोक्षण,N,2.7.28
प्रमीत,V,2.7.28
उपसम्पन्न,V,2.7.28
प्रोक्षित,V,2.7.28
सांनाय्य,N,2.7.29
हविस्,N,2.7.29
हुत,V,2.7.29
वषट्कृत,V,2.7.29
अवभृथ,P,2.7.29
यज्ञिय,V,2.7.29
इष्ट,N,2.7.30
पूर्त,N,2.7.30
अमृत,N,2.7.30
विघस,P,2.7.30
त्याग,P,2.7.31
विहापित,N,2.7.31
दान,N,2.7.31
उत्सर्जन,N,2.7.31
विसर्जन,N,2.7.31
विश्राणन,N,2.7.31
वितरण,N,2.7.31
स्पर्शन,N,2.7.31
प्रतिपादन,N,2.7.31
प्रादेशन,N,2.7.32
निर्वपण,N,2.7.32
अपवर्जन,N,2.7.32
अंहति,S,2.7.32
और्ध्वदेहिक,V,2.7.32
पितृदान,N,2.7.33
निवाप,P,2.7.33
श्राद्ध,N,2.7.33
अन्वाहार्य,N,2.7.33
कुतप,PN,2.7.33
पर्येषणा,S,2.7.34
परीष्टि,S,2.7.34
अन्वेषणा,S,2.7.34
गवेषणा,S,2.7.34
सनि,S,2.7.34
अध्येषणा,S,2.7.34
याञ्चा,S,2.7.34
अभिशस्ति,S,2.7.34
याचना,S,2.7.34
अर्थना,S,2.7.34
अर्घ्य,V,2.7.35
पाद्य,V,2.7.35
आतिथ्य,V,2.7.35
आवेशिक,V,2.7.36
आगन्तु,V,2.7.36
अतिथि,P,2.7.36
प्राघूर्णिक,P,2.7.36
प्राघूणक,P,2.7.36
अभ्युत्थान,N,2.7.36
गौरव,N,2.7.36
पूजा,S,2.7.37
नमस्या,S,2.7.37
अपचिति,S,2.7.37
सपर्या,S,2.7.37
अर्चा,S,2.7.37
अर्हणा,S,2.7.37
वरिवस्या,S,2.7.37
शुश्रूषा,S,2.7.37
परिचर्या,S,2.7.37
उपासना,SN,2.7.37
व्रज्या,S,2.7.38
अटाट्या,S,2.7.38
पर्यटन,N,2.7.38
चर्या,S,2.7.38
उपस्पर्श,P,2.7.38
आचमन,N,2.7.38
मौन,N,2.7.38
अभाषण,N,2.7.38
प्राचेतस्,P,2.7.39
आदिकवि,P,2.7.39
मैत्रावरुणि,P,2.7.39
वाल्मीकि,P,2.7.39
गाधेय,P,2.7.39
विश्वामित्र,P,2.7.39
कौशिक,P,2.7.39
व्यास,P,2.7.40
द्वैपायन,P,2.7.40
पाराशर्य,P,2.7.40
सत्यवतीसुत,P,2.7.40
आनुपूर्वी,S,2.7.40
आवृत्त,V,2.7.40
परिपाटी,S,2.7.40
अनुक्रम,P,2.7.40
पर्याय,P,2.7.41
अतिपात,P,2.7.41
पर्यय,P,2.7.41
उपात्यय,P,2.7.41
नियम,P,2.7.41
व्रत,PN,2.7.41
पुण्यक,N,2.7.41
औपवस्त,N,2.7.42
उपवास,P,2.7.42
विवेक,P,2.7.42
पृथगात्मता,S,2.7.42
ब्रह्मवर्चस,N,2.7.42
वृत्ताध्ययनर्द्धि,S,2.7.42
ब्रह्माञ्जलि,P,2.7.43
ब्रह्मबिन्दु,P,2.7.43
ब्रह्मासन,N,2.7.43
कल्प,P,2.7.43
विधि,P,2.7.43
क्रम,P,2.7.43
मुख्य,P,2.7.44
अनुकल्प,P,2.7.44
उपाकरण,N,2.7.44
पादग्रहण,N,2.7.45
अभिवादन,N,2.7.45
भिक्षु,P,2.7.45
परिव्राज्,P,2.7.45
कर्मन्दिन्,P,2.7.45
पाराशरिन्,P,2.7.45
मस्करिन्,P,2.7.45
तपस्विन्,P,2.7.46
तापस,P,2.7.46
पारिकाङ्क्षिन्,P,2.7.46
वाचंयम,P,2.7.46
मुनि,P,2.7.46
तपःक्लेशसह,V,2.7.46
दान्त,P,2.7.46
वर्णिन्,P,2.7.46
ब्रह्मचारिन्,P,2.7.46
ऋषि,P,2.7.47
सत्यवाक्,P,2.7.47
स्नातक,P,2.7.47
आप्लुतव्रती,P,2.7.47
यतिन्,P,2.7.47
यति,P,2.7.47
स्थण्डिलशायिन्,P,2.7.48
स्थाण्डिल,P,2.7.48
विरजस्तमस्,P,2.7.48
द्वयातिग,P,2.7.48
पवित्र,P,2.7.49
प्रयत,P,2.7.49
पूत,P,2.7.49
पाषण्ड,P,2.7.49
सर्वलिङ्गिन्,P,2.7.49
आषाढ,P,2.7.49
राम्भ,P,2.7.49
वैणव,P,2.7.49
कमण्डलु,PN,2.7.50
कुण्डी,S,2.7.50
वृषी,S,2.7.50
अजिन,N,2.7.50
चर्मन्,N,2.7.50
कृत्ति,S,2.7.50
भैक्ष,N,2.7.50
स्वाध्याय,P,2.7.51
जप,P,2.7.51
सुत्या,S,2.7.51
अभिषव,P,2.7.51
सवन,N,2.7.51
अघमर्षण,V,2.7.51
दर्श,P,2.7.52
पौर्णमास,P,2.7.52
यम,P,2.7.52
नियम,P,2.7.53
क्षौर,N,2.7.53
भद्राकरण,N,2.7.53
मुण्डन,N,2.7.53
वपन,V,2.7.53
उपवीत,N,2.7.54
यज्ञसूत्र,N,2.7.54
प्राचीनावीत,N,2.7.54
निवीत,N,2.7.54
दैव,N,2.7.55
काय,N,2.7.55
पित्र्य,N,2.7.55
ब्राह्म,N,2.7.55
ब्रह्मभूय,N,2.7.56
ब्रह्मत्व,N,2.7.56
ब्रह्मसायुज्य,N,2.7.56
देवभूय,N,2.7.56
कृच्छ्र,N,2.7.56
प्राय,P,2.7.57
वीरहन्,P,2.7.57
नष्टाग्नि,P,2.7.57
कुहना,S,2.7.57
व्रात्य,P,2.7.58
संस्कारहीन,P,2.7.58
अस्वाध्याय,P,2.7.58
निराकृति,P,2.7.58
धर्मध्वजिन्,P,2.7.58
लिङ्गवृत्ति,P,2.7.58
अवकीर्णिन्,P,2.7.58
क्षतव्रत,P,2.7.58
अभिनिर्मुक्त,P,2.7.59
अभ्युदित,P,2.7.59
परिवेतृ,P,2.7.60
परिवित्ति,P,2.7.60
विवाह,P,2.7.60
उपयम,P,2.7.60
परिणय,P,2.7.61
उद्वाह,P,2.7.61
उपयाम,P,2.7.61
पाणिपीडन,N,2.7.61
व्यवाय,P,2.7.61
ग्राम्यधर्म,P,2.7.61
मैथुन,N,2.7.61
निधुवन,N,2.7.61
रत,N,2.7.61
त्रिवर्ग,P,2.7.62
चतुर्वर्ग,P,2.7.62
चतुर्भद्र,N,2.7.62
जन्य,P,2.7.62
मूर्धाभिषिक्त,P,2.8.1
राजन्य,P,2.8.1
बाहुज,P,2.8.1
क्षत्रिय,P,2.8.1
विराज्,P,2.8.1
राज्,P,2.8.1
राज्,P,2.8.1
पार्थिव,P,2.8.1
क्ष्माभृत्,P,2.8.1
नृप,P,2.8.1
भूप,P,2.8.1
महीक्षित्,P,2.8.1
अधीश्वर,P,2.8.2
चक्रवर्तिन्,P,2.8.2
सार्वभौम,P,2.8.2
मण्डलेश्वर,P,2.8.2
सम्राट्,P,2.8.3
राजक,N,2.8.3
राजन्यक,N,2.8.4
मन्त्रिन्,P,2.8.4
धीसचिव,P,2.8.4
अमात्य,P,2.8.4
कर्मसचिव,P,2.8.4
महामात्र,P,2.8.5
प्रधान,N,2.8.5
पुरोधस्,P,2.8.5
पुरोहित,P,2.8.5
प्राड्विवाक,P,2.8.5
अक्षदर्शक,P,2.8.5
प्रतीहार,P,2.8.6
द्वारपाल,P,2.8.6
द्वाःस्थ,P,2.8.6
द्वास्थित,P,2.8.6
दर्शक,P,2.8.6
रक्षिवर्ग,P,2.8.6
अनीकस्थ,P,2.8.6
अध्यक्ष,P,2.8.6
अधिकृत,P,2.8.6
स्थायुक,P,2.8.7
गोप,P,2.8.7
भौरिक,P,2.8.7
कनकाध्यक्ष,P,2.8.7
रूप्याध्यक्ष,P,2.8.7
नैष्किक,P,2.8.7
अन्तर्वंशिक,P,2.8.8
सौविदल्ल,P,2.8.8
कञ्चुकिन्,P,2.8.8
स्थापत्य,P,2.8.8
सौविद,P,2.8.8
शण्ढ,P,2.8.9
वर्षवर,P,2.8.9
सेवक,P,2.8.9
अर्थिन्,P,2.8.9
अनुजीविन्,P,2.8.9
शत्रु,P,2.8.9
मित्र,N,2.8.9
उदासीन,P,2.8.10
पार्ष्णिग्राह,P,2.8.10
रिपु,P,2.8.10
वैरिन्,P,2.8.10
सपत्न,P,2.8.10
अरि,P,2.8.10
द्विषत्,P,2.8.10
द्वेषण,P,2.8.10
दुर्हृद्,P,2.8.10
द्विष्,P,2.8.11
विपक्ष,P,2.8.11
अहित,P,2.8.11
अमित्र,N,2.8.11
दस्यु,P,2.8.11
शात्रव,P,2.8.11
शत्रु,P,2.8.11
अभिघातिन्,P,2.8.11
पर,P,2.8.11
अराति,P,2.8.11
प्रत्यर्थिन्,P,2.8.11
परिपन्थिन्,P,2.8.11
वयस्य,P,2.8.12
स्निग्ध,P,2.8.12
सवयस्,P,2.8.12
मित्र,P,2.8.12
सखि,P,2.8.12
सुहृद्,P,2.8.12
सख्य,N,2.8.12
साप्तपदीन,N,2.8.12
अनुरोध,P,2.8.12
अनुवर्तन,N,2.8.12
यथार्हवर्ण,P,2.8.13
प्रणिधि,P,2.8.13
अपसर्प,P,2.8.13
चर,P,2.8.13
स्पश,P,2.8.13
चार,P,2.8.13
गूढपुरुष,P,2.8.13
आप्त,P,2.8.13
प्रत्ययित,V,2.8.13
सांवत्सर,P,2.8.14
ज्यौतिषिक,P,2.8.14
दैवज्ञ,P,2.8.14
गणक,P,2.8.14
मौहूर्तिक,P,2.8.14
मौहूर्त,P,2.8.14
ज्ञानिन्,P,2.8.14
कार्तान्तिक,P,2.8.14
तान्त्रिक,P,2.8.15
ज्ञातसिद्धान्त,P,2.8.15
सत्रिन्,P,2.8.15
गृहपति,P,2.8.15
लिपिकार,P,2.8.15
अक्षरचण,P,2.8.15
अक्षरचुञ्चु,P,2.8.15
लेखक,P,2.8.15
लिपि,S,2.8.16
लिबि,S,2.8.16
सन्देशहर,P,2.8.16
दूत,P,2.8.16
दूत्य,N,2.8.16
अध्वनीन,P,2.8.17
अध्वग,P,2.8.17
अध्वन्य,P,2.8.17
पान्थ,P,2.8.17
पथिक,P,2.8.17
स्वामिन्,P,2.8.17
अमात्य,P,2.8.17
सुहृद्,P,2.8.17
कोश,P,2.8.17
राष्ट्र,N,2.8.17
दुर्ग,N,2.8.17
बल,P,2.8.17
राज्याङ्ग,N,2.8.18
प्रकृति,S,2.8.18
सन्धि,P,2.8.18
विग्रह,P,2.8.18
यान,N,2.8.18
आसन,N,2.8.18
द्वैध,N,2.8.18
आश्रय,P,2.8.18
प्रभाव,P,2.8.19
उत्साह,P,2.8.19
मन्त्रजा,S,2.8.19
क्षय,P,2.8.19
स्थान,N,2.8.19
वृद्धि,S,2.8.19
प्रताप,P,2.8.20
प्रभाव,P,2.8.20
भेद,P,2.8.20
दण्ड,P,2.8.20
सामन्,N,2.8.20
दान,N,2.8.20
साहस,N,2.8.21
दम,P,2.8.21
दण्ड,P,2.8.21
सामन्,N,2.8.21
सान्त्व,N,2.8.21
भेद,P,2.8.21
उपजाप,P,2.8.21
उपधा,S,2.8.21
अषडक्षीण,V,2.8.22
विविक्त,V,2.8.22
विजन,V,2.8.22
छन्न,V,2.8.22
निःशलाक,V,2.8.22
रहस्,N,2.8.22
रहस्,A,2.8.23
उपांशु,A,2.8.23
रहस्य,V,2.8.23
विस्रम्भ,P,2.8.23
विश्वास,P,2.8.23
भ्रेष,P,2.8.23
अभ्रेष,P,2.8.24
न्याय,P,2.8.24
कल्प,P,2.8.24
देशरूप,N,2.8.24
समञ्जस,N,2.8.24
युक्त,V,2.8.24
औपयिक,V,2.8.24
लभ्य,V,2.8.24
भजमान,V,2.8.24
अभिनीत,V,2.8.24
न्याय्य,V,2.8.25
सम्प्रधारणा,S,2.8.25
समर्थन,N,2.8.25
अववाद,P,2.8.25
निर्देश,P,2.8.25
निदेश,P,2.8.25
शासन,N,2.8.25
शिष्टि,S,2.8.26
आज्ञा,S,2.8.26
संस्था,S,2.8.26
मर्यादा,S,2.8.26
धारणा,S,2.8.26
स्थिति,S,2.8.26
आगस्,N,2.8.26
अपराध,P,2.8.26
मन्तु,P,2.8.26
उद्दान,N,2.8.26
बन्धन,N,2.8.26
द्विपाद्य,P,2.8.27
भागधेय,P,2.8.27
कर,P,2.8.27
बलि,P,2.8.27
शुल्क,PN,2.8.27
प्राभृत,N,2.8.27
प्रदेशन,N,2.8.27
उपायन,N,2.8.28
उपग्राह्य,N,2.8.28
उपहार,P,2.8.28
उपदा,S,2.8.28
सुदाय,P,2.8.28
हरण,N,2.8.28
तत्काल,P,2.8.29
तदात्व,N,2.8.29
सान्दृष्टिक,N,2.8.29
उदर्क,P,2.8.29
अदृष्ट,N,2.8.30
दृष्ट,N,2.8.30
अहिभय,N,2.8.30
प्रक्रिया,S,2.8.31
अधिकार,P,2.8.31
चामर,N,2.8.31
प्रकीर्णक,N,2.8.31
नृपासन,N,2.8.31
भद्रासन,N,2.8.31
सिंहासन,N,2.8.31
छत्र,N,2.8.32
आतपत्र,N,2.8.32
नृपलक्ष्म,N,2.8.32
भद्रकुम्भ,P,2.8.32
पूर्णकुम्भ,P,2.8.32
भृङ्गार,P,2.8.32
कनकालुका,S,2.8.32
निवेश,P,2.8.33
शिबिर,N,2.8.33
सज्जन,N,2.8.33
उपरक्षण,N,2.8.33
सेनाङ्ग,N,2.8.33
दन्तिन्,P,2.8.34
दन्तावल,P,2.8.34
हस्तिन्,P,2.8.34
द्विरद,P,2.8.34
अनेकप,P,2.8.34
द्विप,P,2.8.34
मतङ्गज,P,2.8.34
गज,P,2.8.34
नाग,P,2.8.34
कुञ्जर,P,2.8.34
वारण,P,2.8.34
करिन्,P,2.8.34
इभ,P,2.8.35
स्तम्बेरम,P,2.8.35
पद्मिन्,P,2.8.35
यूथनाथ,P,2.8.35
यूथप,P,2.8.35
मदोत्कट,P,2.8.35
मदकल,P,2.8.35
कलभ,P,2.8.35
करिशावक,P,2.8.35
प्रभिन्न,P,2.8.36
गर्जित,P,2.8.36
मत्त,P,2.8.36
उद्वान्त,P,2.8.36
निर्मद,P,2.8.36
हास्तिक,N,2.8.36
गजता,S,2.8.36
करिणी,S,2.8.36
धेनुका,S,2.8.36
वशा,S,2.8.36
गण्ड,P,2.8.37
कट,P,2.8.37
मद,P,2.8.37
दान,N,2.8.37
वमथु,P,2.8.37
करशीकर,P,2.8.37
कुम्भ,P,2.8.37
पिण्ड,P,2.8.37
शिरस्,N,2.8.37
विदु,P,2.8.37
अवग्रह,P,2.8.38
ईषिका,S,2.8.38
निर्याण,N,2.8.38
चूलिका,S,2.8.38
वाहित्थ,N,2.8.39
प्रतिमान,N,2.8.39
आसन,N,2.8.39
स्कन्धदेश,P,2.8.39
पद्मक,N,2.8.39
बिन्दुजालक,N,2.8.39
पार्श्वभाग,P,2.8.40
पक्षभाग,P,2.8.40
दन्तभाग,P,2.8.40
गात्र,N,2.8.40
आवर,N,2.8.40
तोत्र,N,2.8.41
वेणुक,N,2.8.41
आलान,N,2.8.41
बन्धस्तम्भ,P,2.8.41
शृङ्खल,V,2.8.41
अन्दुक,P,2.8.41
निगड,PN,2.8.41
अङ्कुश,PN,2.8.41
सृणि,S,2.8.41
दूष्या,S,2.8.42
कक्ष्या,S,2.8.42
वरत्रा,S,2.8.42
कल्पना,S,2.8.42
सज्जना,S,2.8.42
प्रवेणि,S,2.8.42
आस्तरण,N,2.8.42
वर्ण,P,2.8.42
परिस्तोम,P,2.8.42
कुथ,PS,2.8.42
वीत,N,2.8.43
वारी,S,2.8.43
गजबन्धनी,S,2.8.43
घोटक,P,2.8.43
वीति,P,2.8.43
तुरग,P,2.8.43
तुरङ्ग,P,2.8.43
अश्व,P,2.8.43
तुरङ्गम,P,2.8.43
वाजिन्,P,2.8.44
वाह,P,2.8.44
अर्वन्,P,2.8.44
गन्धर्व,P,2.8.44
हय,P,2.8.44
सैन्धव,P,2.8.44
सप्ति,P,2.8.44
आजानेय,P,2.8.44
कुलीन,P,2.8.44
विनीत,P,2.8.44
साधुवाहिन्,P,2.8.44
वनायुज,P,2.8.45
पारसीक,P,2.8.45
काम्बोज,P,2.8.45
बाह्लिक,P,2.8.45
ययु,P,2.8.45
अश्वमेधीय,P,2.8.45
जवन,P,2.8.45
जवाधिक,P,2.8.45
पृष्ठ्य,P,2.8.46
स्थौरिन्,P,2.8.46
सित,P,2.8.46
कर्क,P,2.8.46
रथ्य,P,2.8.46
बाल,P,2.8.46
किशोर,P,2.8.46
वामी,S,2.8.46
अश्वा,S,2.8.46
वडवा,S,2.8.46
वाडव,N,2.8.46
आश्वीन,V,2.8.47
कश्य,N,2.8.47
हेषा,S,2.8.47
ह्रेषा,S,2.8.47
निगाल,P,2.8.48
गलोद्देश,P,2.8.48
आश्वीय,N,2.8.48
आश्व,N,2.8.48
आस्कन्दित,N,2.8.48
धौरितक,N,2.8.48
रेचित,N,2.8.48
वल्गित,N,2.8.48
प्लुत,N,2.8.48
धारा,S,2.8.49
घोणा,S,2.8.49
प्रोथ,PN,2.8.49
कविका,S,2.8.49
खलीन,PN,2.8.49
शफ,N,2.8.49
खुर,P,2.8.49
पुच्छ,PN,2.8.50
लूमन्,N,2.8.50
लाङ्गूल,N,2.8.50
वालहस्त,P,2.8.50
वालधि,P,2.8.50
उपावृत्त,V,2.8.50
लुठित,V,2.8.50
शताङ्ग,P,2.8.51
स्यन्दन,P,2.8.51
रथ,P,2.8.51
पुष्यरथ,P,2.8.51
कर्णीरथ,P,2.8.52
प्रवहण,N,2.8.52
डयन,N,2.8.52
अनस्,N,2.8.52
शकट,PN,2.8.52
गन्त्री,S,2.8.52
कम्बलिवाह्यक,N,2.8.52
शिबिका,S,2.8.53
याप्ययान,N,2.8.53
दोला,S,2.8.53
प्रेङ्खा,S,2.8.53
द्वैप,V,2.8.53
वैयाघ्र,V,2.8.53
पाण्डुकम्बलिन्,V,2.8.54
काम्बल,P,2.8.54
रथ्या,S,2.8.55
रथकट्या,S,2.8.55
रथव्रज,P,2.8.55
धू,S,2.8.55
यानमुख,N,2.8.55
रथाङ्ग,N,2.8.55
अपस्कर,P,2.8.55
चक्र,N,2.8.56
रथाङ्ग,N,2.8.56
नेमि,S,2.8.56
प्रधि,P,2.8.56
पिण्डिका,S,2.8.56
नाभि,P,2.8.56
अक्षाग्रकीलक,P,2.8.56
अणि,PS,2.8.56
रथगुप्ति,S,2.8.57
वरूथ,P,2.8.57
कूबर,P,2.8.57
युगन्धर,P,2.8.57
अनुकर्ष,P,2.8.57
प्रासङ्ग,P,2.8.57
वाहन,N,2.8.58
यान,N,2.8.58
युग्य,N,2.8.58
पत्र,N,2.8.58
धोरण,N,2.8.58
वैनीतक,PN,2.8.58
आधोरण,P,2.8.59
हस्तिपक,P,2.8.59
हस्त्यारोह,P,2.8.59
निषादिन्,P,2.8.59
नियन्तृ,P,2.8.59
प्राजितृ,P,2.8.59
यन्तृ,P,2.8.59
सूत,P,2.8.59
क्षन्त्रृ,P,2.8.59
सारथि,P,2.8.59
सव्येष्ठ,P,2.8.60
दक्षिणस्थ,P,2.8.60
रथिन्,P,2.8.60
स्यन्दनारोह,P,2.8.60
अश्वारोह,P,2.8.60
सादिन्,P,2.8.60
भट,P,2.8.61
योध,P,2.8.61
योद्धृ,P,2.8.61
सेनारक्ष,P,2.8.61
सैनिक,P,2.8.61
सैन्य,P,2.8.61
सैनिक,P,2.8.61
साहस्र,P,2.8.62
सहस्रिन्,P,2.8.62
परिधिस्थ,P,2.8.62
परिचर,P,2.8.62
सेनानी,P,2.8.62
वाहिनीपति,P,2.8.62
कञ्चुक,P,2.8.63
वारबाण,PN,2.8.63
सारसन,N,2.8.63
अधिकाङ्ग,P,2.8.63
शीर्षक,N,2.8.63
शीर्षण्य,N,2.8.64
शिरस्त्र,N,2.8.64
तनुत्र,N,2.8.64
वर्मन्,N,2.8.64
दंशन,N,2.8.64
उरःछद,P,2.8.64
कङ्कटक,P,2.8.64
जगर,P,2.8.64
कवच,PN,2.8.64
आमुक्त,V,2.8.65
प्रतिमुक्त,V,2.8.65
पिनद्ध,V,2.8.65
अपिनद्ध,V,2.8.65
संनद्ध,V,2.8.65
वर्मित,V,2.8.65
सज्ज,V,2.8.65
दंशित,V,2.8.65
व्यूढकङ्कट,V,2.8.65
कावचिक,N,2.8.66
पदाति,P,2.8.66
पत्ति,P,2.8.66
