ईश्वरी,S,1.1.45
शिवा,S,1.1.46
भवानी,S,1.1.46
रुद्राणी,S,1.1.46
शर्वाणी,S,1.1.46
सर्वमङ्गला,S,1.1.46
अपर्णा,S,1.1.46
पार्वती,S,1.1.46
दुर्गा,S,1.1.46
मृडानी,S,1.1.46
चण्डिका,S,1.1.46
अम्बिका,S,1.1.46
आर्या,S,1.1.47
दाक्षायणी,S,1.1.47
गिरिजा,S,1.1.47
मेनकात्मजा,S,1.1.47
विनायक,P,1.1.47
विघ्नराज,P,1.1.47
द्वैमातुर,P,1.1.47
गणाधिप,P,1.1.47
एकदन्त,P,1.1.48
हेरम्ब,P,1.1.48
लम्बोदर,P,1.1.48
गजानन,P,1.1.48
कार्तिकेय,P,1.1.48
महासेन,P,1.1.48
शरजन्मन्,P,1.1.48
षडानन,P,1.1.48
पार्वतीनन्दन,P,1.1.49
स्कन्द,P,1.1.49
सेनानी,P,1.1.49
अग्निभू,P,1.1.49
गुह,P,1.1.49
बाहुलेय,P,1.1.49
तारकजित्,P,1.1.49
विशाख,P,1.1.49
शिखिवाहन,P,1.1.49
षाण्मातुर,P,1.1.50
शक्तिधर,P,1.1.50
कुमार,P,1.1.50
क्रौञ्चदारण,P,1.1.50
शृङ्गिन्,P,1.1.50
भृङ्गिन्,P,1.1.50
रिटि,P,1.1.50
तुण्डिन्,P,1.1.50
नन्दिक,P,1.1.50
नन्दिकेश्वर,P,1.1.50
कर्ममोटी,S,1.1.51
चामुण्डा,S,1.1.51
चर्ममुण्डा,S,1.1.51
चर्चिका,S,1.1.51
इन्द्र,P,1.1.51
मरुत्वत्,P,1.1.51
मघवन्,P,1.1.51
बिडौजस्,P,1.1.51
पाकशासन,P,1.1.51
वृद्धश्रवस्,P,1.1.52
सुनासीर,P,1.1.52
पुरुहूत,P,1.1.52
पुरन्दर,P,1.1.52
जिष्णु,P,1.1.52
लेखर्षभ,P,1.1.52
शक्र,P,1.1.52
शतमन्यु,P,1.1.52
दिवस्पति,P,1.1.52
सुत्रामन्,P,1.1.53
गोत्रभिद्,P,1.1.53
वज्रिन्,P,1.1.53
वासव,P,1.1.53
वृत्रहन्,P,1.1.53
वृषन्,P,1.1.53
वास्तोष्पति,P,1.1.53
सुरपति,P,1.1.53
बलाराति,P,1.1.53
शचीपति,P,1.1.53
जम्भभेदिन्,P,1.1.54
हरिहय,P,1.1.54
स्वाराज्,P,1.1.54
नमुचिसूदन,P,1.1.54
सङ्क्रन्दन,P,1.1.54
दुश्च्यवन,P,1.1.54
तुराषा,P,1.1.54
मेघवाहन,P,1.1.54
आखण्डल,P,1.1.55
सहस्राक्ष,P,1.1.55
ऋभुक्षिन्,P,1.1.55
पुलोमजा,S,1.1.55
शची,S,1.1.55
इन्द्राणी,S,1.1.55
अमरावती,S,1.1.55
उच्चैःश्रवस्,P,1.1.56
मातलि,P,1.1.56
नन्दन,N,1.1.56
वैजयन्त,P,1.1.56
जयन्त,P,1.1.56
पाकशासनि,P,1.1.56
ऐरावत,P,1.1.57
अभ्रमातङ्ग,P,1.1.57
ऐरावण,P,1.1.57
अभ्रमुवल्लभ,P,1.1.57
ह्रादिनी,S,1.1.57
वज्र,PN,1.1.57
कुलिश,PN,1.1.57
भिदुर,N,1.1.57
पवि,P,1.1.57
शतकोटि,P,1.1.58
स्वरु,P,1.1.58
शम्ब,P,1.1.58
दम्भोलि,P,1.1.58
अशनि,PS,1.1.58
व्योमयान,N,1.1.58
विमान,PN,1.1.58
नारद,P,1.1.58
सुधर्मा,S,1.1.59
देवसभा,S,1.1.59
पीयूष,N,1.1.59
अमृत,N,1.1.59
सुधा,S,1.1.59
मन्दाकिनी,S,1.1.59
वियद्गङ्गा,S,1.1.59
स्वर्णदी,S,1.1.59
सुरदीर्घिका,S,1.1.59
मेरु,P,1.1.60
सुमेरु,P,1.1.60
हेमाद्रि,P,1.1.60
रत्नसानु,P,1.1.60
सुरालय,P,1.1.60
देवतरु,P,1.1.60
मन्दार,P,1.1.60
पारिजातक,P,1.1.60
सन्तान,P,1.1.61
कल्पवृक्ष,P,1.1.61
हरिचन्दन,PN,1.1.61
सनत्कुमार,P,1.1.61
वैधात्र,P,1.1.61
स्वर्वैद्य,P,1.1.61
अश्विनीसुत,P,1.1.61
नासत्यौ,PD,1.1.62
अश्विनौ,PD,1.1.62
दस्रौ,PD,1.1.62
आश्विनेयौ,PD,1.1.62
अप्सरस्,SB,1.1.62
स्वर्वेश्या,S,1.1.62
घृताची,S,1.1.63
मेनका,S,1.1.63
रम्भा,S,1.1.63
उर्वशी,S,1.1.63
तिलोत्तमा,S,1.1.63
सुकेशी,S,1.1.63
मञ्जुघोषा,S,1.1.63
हाहा,P,1.1.64
हूहू,P,1.1.64
गन्धर्व,P,1.1.64
अग्नि,P,1.1.64
वैश्वानर,P,1.1.64
वह्नि,P,1.1.64
वीतिहोत्र,P,1.1.64
धन्ञ्जय,P,1.1.64
कृपीटयोनि,P,1.1.65
ज्वलन,P,1.1.65
जातवेदस्,P,1.1.65
तनूनपात्,P,1.1.65
बर्हि,P,1.1.65
शुष्मन्,P,1.1.65
कृष्णवर्त्मन्,P,1.1.65
शोचिष्केश,P,1.1.65
उषर्बुध,P,1.1.65
आश्रयाश,P,1.1.66
बृहद्भानु,P,1.1.66
कृशानु,P,1.1.66
पावक,P,1.1.66
अनल,P,1.1.66
रोहिताश्व,P,1.1.66
वायुसख,P,1.1.66
शिखावत्,P,1.1.66
आशुशुक्षणि,P,1.1.66
हिरण्यरेतस्,P,1.1.67
हुतभुज्,P,1.1.67
दहन,P,1.1.67
हव्यवाहन,P,1.1.67
सप्तार्चिस्,P,1.1.67
दमुनस्,P,1.1.67
शुक्र,P,1.1.67
चित्रभानु,P,1.1.67
विभावसु,P,1.1.67
शुचि,P,1.1.68
अप्पित्त,N,1.1.68
और्व,P,1.1.68
वाडव,P,1.1.68
वडवानल,P,1.1.68
ज्वाला,PS,1.1.68
कीला,PS,1.1.68
अर्चिस्,S,1.1.68
हेति,S,1.1.68
शिखा,S,1.1.68
स्फुलिङ्ग,V,1.1.69
अग्निकण,P,1.1.69
सन्ताप,P,1.1.69
सञ्ज्वर,P,1.1.69
उल्का,S,1.1.69
निर्गतज्वाला,PS,1.1.69
भूति,S,1.1.69
भसित,N,1.1.69
भस्मन्,N,1.1.69
क्षार,P,1.1.70
रक्षा,S,1.1.70
दाव,P,1.1.70
दव,P,1.1.70
वनहुताशन,P,1.1.70
धर्मराज,P,1.1.70
पितृपति,P,1.1.70
समवर्तिन्,P,1.1.70
परेतराज्,P,1.1.70
कृतान्त,P,1.1.71
यमुनाभ्रातृ,P,1.1.71
शमन,P,1.1.71
यमराज्,P,1.1.71
यम,P,1.1.71
काल,P,1.1.71
दण्डधर,P,1.1.71
श्राद्धदेव,P,1.1.71
वैवस्वत,P,1.1.71
अन्तक,P,1.1.71
राक्षस,P,1.1.72
कौणप,P,1.1.72
क्रव्याद्,P,1.1.72
क्रव्याद,P,1.1.72
अस्रप,P,1.1.72
आशर,P,1.1.72
रात्रिञ्चर,P,1.1.72
रात्रिचर,P,1.1.72
कर्बुर,P,1.1.72
निकषात्मज,P,1.1.72
यातुधान,P,1.1.73
पुण्यजन,P,1.1.73
नैरृत,P,1.1.73
यातु,N,1.1.73
रक्षस्,P,1.1.73
प्रचेतस्,P,1.1.73
वरुण,P,1.1.73
पाशिन्,P,1.1.73
यादसाम्पति,P,1.1.73
अप्पति,P,1.1.73
श्वसन,P,1.1.74
स्पर्शन,P,1.1.74
वायु,P,1.1.74
मातरिश्वन्,P,1.1.74
सदागति,P,1.1.74
पृषदश्व,P,1.1.74
गन्धवह,P,1.1.74
गन्धवाह,P,1.1.74
अनिल,P,1.1.74
आशुग,P,1.1.74
समीर,P,1.1.75
मारुत,P,1.1.75
मरुत्,P,1.1.75
जगत्प्राण,P,1.1.75
समीरण,P,1.1.75
नभस्वत्,P,1.1.75
वात,P,1.1.75
पवन,P,1.1.75
पवमान,P,1.1.75
प्रभञ्जन,P,1.1.75
प्रकम्पन,P,1.1.76
महावात,P,1.1.76
झञ्झावात,P,1.1.76
प्राण,P,1.1.76
अपान,P,1.1.76
समान,P,1.1.76
उदान,P,1.1.76
व्यान,P,1.1.76
रंहस्,N,1.1.79
तरस्,N,1.1.79
रय,P,1.1.79
स्यद,P,1.1.79
जव,P,1.1.79
शीघ्र,N,1.1.79
त्वरित,N,1.1.79
लघु,N,1.1.79
क्षिप्र,N,1.1.79
अर,N,1.1.79
द्रुत,N,1.1.79
सत्वर,N,1.1.80
चपल,N,1.1.80
तूर्ण,N,1.1.80
अविलम्बित,N,1.1.80
आशु,N,1.1.80
सतत,N,1.1.80
अनारत,N,1.1.80
अश्रान्त,N,1.1.80
सन्तत,N,1.1.80
अविरत,N,1.1.80
अनिश,N,1.1.80
नित्य,N,1.1.81
अनवरत,N,1.1.81
अजस्र,N,1.1.81
अतिशय,P,1.1.81
भर,P,1.1.81
अतिवेल,N,1.1.81
भृश,N,1.1.81
अत्यर्थ,N,1.1.81
अतिमात्र,N,1.1.81
उद्गाढ,N,1.1.81
निर्भर,N,1.1.81
तीव्र,N,1.1.82
एकान्त,N,1.1.82
नितान्त,N,1.1.82
गाढ,N,1.1.82
बाढ,N,1.1.82
दृढ,N,1.1.82
कुबेर,P,1.1.83
त्र्यम्बकसख,P,1.1.83
यक्षराज्,P,1.1.83
गुह्यकेश्वर,P,1.1.83
मनुष्यधर्मन्,P,1.1.83
धनद,P,1.1.83
राजराज,P,1.1.83
धनाधिप,P,1.1.83
किन्नरेश,P,1.1.84
वैश्रवण,P,1.1.84
पौलस्त्य,P,1.1.84
नरवाहन,P,1.1.84
यक्ष,P,1.1.84
एकपिङ्ग,P,1.1.84
ऐलविल,P,1.1.84
श्रीद,P,1.1.84
पुण्य,N,1.1.84
जनेश्वर,P,1.1.84
चैत्ररथ,N,1.1.85
नलकूबर,P,1.1.85
कैलास,P,1.1.85
अलका,S,1.1.85
पुष्पक,PN,1.1.85
किन्नर,P,1.1.86
किम्पुरुष,P,1.1.86
तुरङ्गवदन,P,1.1.86
मयु,P,1.1.86
निधि,P,1.1.86
शेवधि,P,1.1.86
पद्म,PN,1.1.86
शङ्ख,PN,1.1.86
महापद्म,P,1.1.87
पद्म,PN,1.1.87
शङ्ख,PN,1.1.87
मकर,P,1.1.87
कच्छप,P,1.1.87
मुकुन्द,P,1.1.87
कुन्द,P,1.1.87
नील,P,1.1.87
खर्व,P,1.1.87
द्यो,S,1.2.1
दिव्,S,1.2.1
अभ्र,N,1.2.1
व्योमन्,N,1.2.1
पुष्कर,N,1.2.1
अम्बर,N,1.2.1
नभस्,P,1.2.1
अन्तरिक्ष,N,1.2.1
गगन,N,1.2.1
अनन्त,N,1.2.1
सुरवर्त्मन्,N,1.2.1
ख,N,1.2.1
वियत्,N,1.2.2
विष्णुपद,N,1.2.2
आकाश,P,1.2.2
विहायस्,P,1.2.2
विहायस्,P,1.2.2
नाक,P,1.2.2
द्यु,A,1.2.2
अव्यय,V,1.2.2
तारापथ,P,1.2.3
अन्तरिक्ष,N,1.2.3
मेघाध्वन्,P,1.2.3
महाबिल,N,1.2.3
शकुन,P,1.2.3
गगन,N,1.2.3
दिश्,S,1.3.1
ककुभ्,S,1.3.1
काष्ठा,S,1.3.1
आशा,S,1.3.1
हरित्,S,1.3.1
प्राची,S,1.3.1
अवाची,S,1.3.1
प्रतीची,S,1.3.1
पूर्व,P,1.3.1
दक्षिण,S,1.3.1
पश्चिम,S,1.3.1
उत्तरा,S,1.3.2
उदीची,S,1.3.2
दिश्य,V,1.3.2
अवाच्,V,1.3.2
अवाचीन,V,1.3.2
उदीचीन,V,1.3.2
उदक्,A,1.3.2
प्रत्यग्,A,1.3.3
प्रतीचीन,V,1.3.3
प्राचीन,N,1.3.3
प्राक्,A,1.3.3
इन्द्र,P,1.3.3
वह्नि,P,1.3.3
पितृपति,P,1.3.3
नैरृत,P,1.3.3
वरुण,P,1.3.3
मरुत्,P,1.3.3
कुबेर,P,1.3.4
ईश,P,1.3.4
पूर्व,P,1.3.4
रवि,P,1.3.4
शुक्र,P,1.3.4
महीसूनु,P,1.3.4
स्वर्भानु,P,1.3.4
भानुज,P,1.3.4
विधु,P,1.3.4
बुध,P,1.3.5
बृहस्पति,P,1.3.5
ऐरावत,P,1.3.5
पुण्डरीक,P,1.3.5
वामन,P,1.3.5
कुमुद,P,1.3.5
अञ्जन,P,1.3.5
पुष्पदन्त,P,1.3.6
सार्वभौम,P,1.3.6
सुप्रतीक,P,1.3.6
अभ्रमु,S,1.3.6
कपिला,S,1.3.6
पिङ्गला,S,1.3.6
अनुपमा,S,1.3.6
ताम्रकर्णी,S,1.3.7
शुभ्रदन्ती,S,1.3.7
अङ्गना,S,1.3.7
अञ्जनावती,S,1.3.7
अपदिशम्,NA,1.3.7
विदिश्,S,1.3.7
अभ्यन्तर,N,1.3.8
अन्तराल,N,1.3.8
चक्रवाल,P,1.3.8
मण्डल,N,1.3.8
अभ्र,N,1.3.8
मेघ,P,1.3.8
वारिवाह,P,1.3.8
स्तनयित्नु,P,1.3.8
बलाहक,P,1.3.8
धाराधर,P,1.3.9
जलधर,P,1.3.9
तडित्वत्,P,1.3.9
वारिद,P,1.3.9
अम्बुभृत्,P,1.3.9
घन,P,1.3.9
जीमूत,P,1.3.9
मुदिर,P,1.3.9
जलमुच्,P,1.3.9
धूमयोनि,P,1.3.9
कादम्बिनी,S,1.3.10
मेघमाला,S,1.3.10
अभ्रिय,V,1.3.10
स्तनित,N,1.3.10
गर्जित,N,1.3.10
मेघनिर्घोष,P,1.3.10
रसित,N,1.3.10
शम्पा,S,1.3.11
शतह्रदा,S,1.3.11
ह्रादिनी,S,1.3.11
ऐरावती,S,1.3.11
क्षणप्रभा,S,1.3.11
तडित्,S,1.3.11
सौदामिनी,S,1.3.11
विद्युत्,S,1.3.11
चञ्चला,S,1.3.11
चपला,S,1.3.11
स्फूर्जथु,P,1.3.12
वज्रनिर्घोष,P,1.3.12
मेघज्योति,P,1.3.12
इरम्मद,P,1.3.12
इन्द्रायुध,N,1.3.12
शक्रधनुस्,N,1.3.12
रोहित,N,1.3.12
वृष्टि,S,1.3.13
वर्ष,N,1.3.13
अवग्राह,P,1.3.13
अवग्रह,P,1.3.13
धारासम्पात,P,1.3.13
आसार,P,1.3.13
शीकर,P,1.3.13
